,Date,Mood,Tags,Weather
0,2024 Tue Apr 23 12:55 PM,Amused,Outside;Co-workers;Hanging out,scattered clouds
1,2024 Mon Apr 22 9:20 PM,Chill,Resting;By myself;Vacation home;Watching shows,broken clouds
2,2024 Mon Apr 22 3:56 PM,Tired,Co-workers;Networking;Work,broken clouds
3,2024 Sun Apr 21 9:38 PM,Good,Resting;Vacation home;By myself,few clouds
4,2024 Sun Apr 21 5:03 PM,Enthusiastic,Commuting;Strangers;Between places,overcast clouds
5,2024 Sun Apr 21 8:22 AM,Excited,Home;Planning life;Pets,broken clouds
6,2024 Sat Apr 20 10:33 PM,Excited,Resting;Home;Pets,clear sky
7,2024 Sat Apr 20 2:45 PM,Productive,By myself;Home,broken clouds
8,2024 Sat Apr 20 7:07 AM,Thoughtful,Walking;Pets;Outside,broken clouds
9,2024 Fri Apr 19 9:25 PM,Apathetic,Watching shows;By myself;Home;Resting,overcast clouds
10,2024 Fri Apr 19 3:00 AM,Lonely,Resting;Home;By myself,broken clouds
11,2024 Thu Apr 18 1:31 PM,Lost,Resting;Home;By myself,overcast clouds
12,2024 Wed Apr 17 4:06 PM,At Ease,By myself;Resting;Home,overcast clouds
13,2024 Wed Apr 17 9:42 AM,Eager,Co-workers;Networking;Outside,broken clouds
14,2024 Tue Apr 16 2:14 PM,Chill,Home;Resting;By myself,few clouds
15,2024 Mon Apr 15 2:40 PM,Valued,Networking;Co-workers;Work,overcast clouds
16,2024 Sun Apr 14 7:57 PM,Balanced,Resting;Home;Pets,clear sky
17,2024 Sat Apr 13 2:00 PM,Empathetic,Hanging out;Home;Family,overcast clouds
18,2024 Sat Apr 13 9:15 AM,Empowered,By myself;Running;Outside;Listening to music,broken clouds
19,2024 Sat Apr 13 6:36 AM,Frustrated,Waking up;By myself;Home,broken clouds
20,2024 Fri Apr 12 7:57 PM,Comfortable,Home;Pets;Resting,broken clouds
21,2024 Thu Apr 11 11:25 AM,Excited,Home;Friends;Networking,broken clouds
22,2024 Thu Apr 11 8:45 AM,Disgusted,Home;Back from run;By myself,broken clouds
23,2024 Wed Apr 10 8:44 PM,Challenged,Planning life;Work;Co-workers,clear sky
24,2024 Tue Apr 9 1:25 PM,Relieved,Networking;Work;Co-workers,scattered clouds
25,2024 Tue Apr 9 5:52 AM,Anxious,Home;Waking up;Pets,mist
26,2024 Mon Apr 8 2:29 PM,Productive,Writing;Home;By myself,scattered clouds
27,2024 Sun Apr 7 9:11 PM,Comfortable,Home;Resting;By myself,scattered clouds
28,2024 Sat Apr 6 6:31 PM,Content,Family;Hanging out;Outside,overcast clouds
29,2024 Fri Apr 5 3:30 PM,At Ease,Networking;Strangers;Work,overcast clouds
30,2024 Thu Apr 4 1:31 PM,Frustrated,By myself;Home,overcast clouds
31,2024 Wed Apr 3 7:21 PM,Lost,By myself;Home;Watching shows,overcast clouds
32,2024 Tue Apr 2 6:33 AM,Optimistic,Home;Planning life;By myself,drizzle
33,2024 Tue Apr 2 5:40 AM,Tired,Home;Waking up;Pets,drizzle
34,2024 Mon Apr 1 1:31 PM,Lost,Walking;Between places;By myself;Commuting,fog
35,2024 Mon Apr 1 9:01 AM,Longing,By myself;Waking up;Walking;Home;Outside,fog
36,2024 Sun Mar 31 8:26 PM,Longing,Pets;Outside;Walking,overcast clouds
37,2024 Sun Mar 31 7:16 AM,Pensive,Home;Pets;Waking up,overcast clouds
38,2024 Sat Mar 30 8:53 PM,Disengaged,By myself;Resting;Home,few clouds
39,2024 Sat Mar 30 7:03 PM,Vulnerable,By myself;Home;Resting;Watching shows,few clouds
40,2024 Fri Mar 29 4:53 PM,Excited,Drinking ;Bar ;Hanging out;Friends;Listening to music,light intensity drizzle
41,2024 Thu Mar 28 7:48 AM,Motivated,By myself;Learning ;Home;Strangers,overcast clouds
42,2024 Wed Mar 27 6:45 PM,Balanced,By myself;Watching shows;Home,overcast clouds
43,2024 Tue Mar 26 6:41 PM,Chill,Home;Learning ;By myself,overcast clouds
44,2024 Mon Mar 25 3:29 PM,Appreciated,Family;Home;Helping someone,overcast clouds
45,2024 Sun Mar 24 11:08 AM,Optimistic,Running;Listening to music;By myself;Outside,overcast clouds
46,2024 Sun Mar 24 6:05 AM,Lost,Waking up;By myself;Home,overcast clouds
47,2024 Sat Mar 23 10:55 AM,Insecure,Resting;By myself;Home,broken clouds
48,2024 Fri Mar 22 4:21 PM,Apathetic,Watching shows;By myself;Home,broken clouds
49,2024 Thu Mar 21 6:18 PM,Relaxed,Home;Watching shows;By myself,broken clouds
50,2024 Thu Mar 21 1:05 PM,Disappointed,Home;Learning ;Co-workers,broken clouds
51,2024 Thu Mar 21 7:15 AM,Overwhelmed,Home;Waking up;By myself,broken clouds
52,2024 Wed Mar 20 6:30 PM,Disengaged,Watching shows;Home;By myself,broken clouds
53,2024 Tue Mar 19 4:25 PM,Chill,Home;By myself;Watching shows;Resting,overcast clouds
54,2024 Mon Mar 18 1:32 PM,Balanced,Planning life;Co-workers;Work;Hanging out,broken clouds
55,2024 Sun Mar 17 1:31 PM,Balanced,By myself;Home;Resting,few clouds
56,2024 Sat Mar 16 3:30 PM,Relaxed,Home;Watching shows;By myself,few clouds
57,2024 Fri Mar 15 2:57 PM,Thoughtful,Hanging out;Outside;Bar ;By myself,light rain
58,2024 Thu Mar 14 8:59 AM,Exhilarated,By myself;Planning life;Learning ;Home,mist
59,2024 Wed Mar 13 3:45 PM,Compassionate,Helping someone;At friends;Family,overcast clouds
60,2024 Tue Mar 12 11:09 PM,Annoyed,Planning life;By myself;Home,fog
61,2024 Mon Mar 11 12:10 PM,Motivated,Learning ;Home;By myself,fog
62,2024 Sun Mar 10 12:00 PM,Chill,Home;Resting;Pets,overcast clouds
63,2024 Sat Mar 9 1:30 PM,Energized,Home;Resting;By myself,overcast clouds
64,2024 Sat Mar 9 8:05 AM,Fatigued,Home;Pets;By myself;Spacied out;Waking up,overcast clouds
65,2024 Fri Mar 8 9:14 AM,Optimistic,After swimming;Outside;By myself,fog
66,2024 Fri Mar 8 9:11 AM,Appreciated,Helping someone;Outside;Family,fog
67,2024 Thu Mar 7 7:42 PM,Compassionate,At friends;Helping someone;Family,clear sky
68,2024 Wed Mar 6 5:08 PM,Curious,Networking;Strangers;Bar ,overcast clouds
69,2024 Wed Mar 6 10:54 AM,Disengaged,By myself;Home;Resting,overcast clouds
70,2024 Tue Mar 5 6:18 PM,Thoughtful,Home;By myself;Planning life;Watching shows,light rain
71,2024 Tue Mar 5 7:14 AM,Alive,Outside;By myself;Running;Listening to music,broken clouds
72,2024 Tue Mar 5 6:38 AM,Engaged,Writing;Home;Learning ;By myself,broken clouds
73,2024 Mon Mar 4 12:22 PM,Upbeat,Friends;Hanging out;After swimming;At friends,clear sky
74,2024 Sun Mar 3 4:43 PM,Longing,Home;By myself;Resting,few clouds
75,2024 Sun Mar 3 4:41 PM,Meh,By myself;Home;Resting,few clouds
76,2024 Sat Mar 2 1:33 PM,Thoughtful,Outside;By myself;Walking,fog
77,2024 Fri Mar 1 3:59 PM,Thoughtful,By myself;Resting;Home,fog
78,2024 Fri Mar 1 5:52 AM,Sad,Waking up;Home;Pets,overcast clouds
79,2024 Thu Feb 29 4:58 PM,Successful,At friends;Writing;Friends;Networking,overcast clouds
80,2024 Thu Feb 29 2:47 PM,Engaged,By myself;Home;Writing,overcast clouds
81,2024 Wed Feb 28 6:51 AM,Tired,Home;Planning life;By myself,overcast clouds
82,2024 Tue Feb 27 7:30 AM,Enthusiastic,Back from run;By myself;Home,mist
83,2024 Mon Feb 26 3:21 PM,Accomplished,Co-workers;Home;Learning ;By myself,overcast clouds
84,2024 Mon Feb 26 6:15 AM,Curious,Home;By myself;Planning life,mist
85,2024 Sun Feb 25 7:24 AM,Balanced,Pets;Outside;Walking,broken clouds
86,2024 Sat Feb 24 6:32 PM,Lonely,By myself;Watching shows;Home,scattered clouds
87,2024 Sat Feb 24 6:28 AM,Comfortable,Writing;Pets;Waking up;Home,overcast clouds
88,2024 Fri Feb 23 4:25 PM,Joyful,Drinking ;Co-workers;Hanging out;Bar ,overcast clouds
89,2024 Fri Feb 23 1:30 PM,Inspired,Outside;Networking;Strangers;Hanging out,overcast clouds
90,2024 Thu Feb 22 6:42 PM,Meh,Home;Resting;By myself,overcast clouds
91,2024 Wed Feb 21 6:08 PM,Curious,Strangers;School;Networking;Learning ,overcast clouds
92,2024 Wed Feb 21 4:44 PM,Enthusiastic,Work;Planning teaching;Co-workers,overcast clouds
93,2024 Tue Feb 20 6:10 AM,Determined,Walking;Pets;Outside,broken clouds
94,2024 Mon Feb 19 8:31 PM,Tired,Pets;Resting;Home,overcast clouds
95,2024 Mon Feb 19 12:15 PM,Content,Library;Hanging out;Walking;Outside;By myself;Strangers,overcast clouds
