Date,Unnamed: 0,Mood,Tags,Weather,Moods,EmotionCat,DateTime,Weekday,Time
2024-04-23,0,Amused,Outside;Co-workers;Hanging out,scattered clouds,Amused,"High Energy, Positive",2024-04-23 12:55:00,1,12:55:00
2024-04-22,1,Chill,Resting;By myself;Vacation home;Watching shows,broken clouds,Chill,"Low Energy, Positive",2024-04-22 21:20:00,0,21:20:00
2024-04-22,2,Tired,Co-workers;Networking;Work,broken clouds,Tired,"Low Energy, Negative",2024-04-22 15:56:00,0,15:56:00
2024-04-21,3,Good,Resting;Vacation home;By myself,few clouds,Good,"Low Energy, Positive",2024-04-21 21:38:00,6,21:38:00
2024-04-21,4,Enthusiastic,Commuting;Strangers;Between places,overcast clouds,Enthusiastic,"High Energy, Positive",2024-04-21 17:03:00,6,17:03:00
2024-04-21,5,Excited,Home;Planning life;Pets,broken clouds,Excited,"High Energy, Positive",2024-04-21 08:22:00,6,08:22:00
2024-04-20,6,Excited,Resting;Home;Pets,clear sky,Excited,"High Energy, Positive",2024-04-20 22:33:00,5,22:33:00
2024-04-20,7,Productive,By myself;Home,broken clouds,Productive,"High Energy, Positive",2024-04-20 14:45:00,5,14:45:00
2024-04-20,8,Thoughtful,Walking;Pets;Outside,broken clouds,Thoughtful,"Low Energy, Positive",2024-04-20 07:07:00,5,07:07:00
2024-04-19,9,Apathetic,Watching shows;By myself;Home;Resting,overcast clouds,Apathetic,"Low Energy, Negative",2024-04-19 21:25:00,4,21:25:00
2024-04-19,10,Lonely,Resting;Home;By myself,broken clouds,Lonely,"Low Energy, Negative",2024-04-19 03:00:00,4,03:00:00
2024-04-18,11,Lost,Resting;Home;By myself,overcast clouds,Lost,"Low Energy, Negative",2024-04-18 13:31:00,3,13:31:00
2024-04-17,12,At Ease,By myself;Resting;Home,overcast clouds,At Ease,"Low Energy, Positive",2024-04-17 16:06:00,2,16:06:00
2024-04-17,13,Eager,Co-workers;Networking;Outside,broken clouds,Eager,"High Energy, Positive",2024-04-17 09:42:00,2,09:42:00
2024-04-16,14,Chill,Home;Resting;By myself,few clouds,Chill,"Low Energy, Positive",2024-04-16 14:14:00,1,14:14:00
2024-04-15,15,Valued,Networking;Co-workers;Work,overcast clouds,Valued,"High Energy, Positive",2024-04-15 14:40:00,0,14:40:00
2024-04-14,16,Balanced,Resting;Home;Pets,clear sky,Balanced,"Low Energy, Positive",2024-04-14 19:57:00,6,19:57:00
2024-04-13,17,Empathetic,Hanging out;Home;Family,overcast clouds,Empathetic,"Low Energy, Positive",2024-04-13 14:00:00,5,14:00:00
2024-04-13,18,Empowered,By myself;Running;Outside;Listening to music,broken clouds,Empowered,"High Energy, Positive",2024-04-13 09:15:00,5,09:15:00
2024-04-13,19,Frustrated,Waking up;By myself;Home,broken clouds,Frustrated,"High Energy, Negative",2024-04-13 06:36:00,5,06:36:00
2024-04-12,20,Comfortable,Home;Pets;Resting,broken clouds,Comfortable,"Low Energy, Positive",2024-04-12 19:57:00,4,19:57:00
2024-04-11,21,Excited,Home;Friends;Networking,broken clouds,Excited,"High Energy, Positive",2024-04-11 11:25:00,3,11:25:00
2024-04-11,22,Disgusted,Home;Back from run;By myself,broken clouds,Disgusted,"Low Energy, Negative",2024-04-11 08:45:00,3,08:45:00
2024-04-10,23,Challenged,Planning life;Work;Co-workers,clear sky,Challenged,"High Energy, Negative",2024-04-10 20:44:00,2,20:44:00
2024-04-09,24,Relieved,Networking;Work;Co-workers,scattered clouds,Relieved,"Low Energy, Positive",2024-04-09 13:25:00,1,13:25:00
2024-04-09,25,Anxious,Home;Waking up;Pets,mist,Anxious,"High Energy, Negative",2024-04-09 05:52:00,1,05:52:00
2024-04-08,26,Productive,Writing;Home;By myself,scattered clouds,Productive,"High Energy, Positive",2024-04-08 14:29:00,0,14:29:00
2024-04-07,27,Comfortable,Home;Resting;By myself,scattered clouds,Comfortable,"Low Energy, Positive",2024-04-07 21:11:00,6,21:11:00
2024-04-06,28,Content,Family;Hanging out;Outside,overcast clouds,Content,"Low Energy, Positive",2024-04-06 18:31:00,5,18:31:00
2024-04-05,29,At Ease,Networking;Strangers;Work,overcast clouds,At Ease,"Low Energy, Positive",2024-04-05 15:30:00,4,15:30:00
2024-04-04,30,Frustrated,By myself;Home,overcast clouds,Frustrated,"High Energy, Negative",2024-04-04 13:31:00,3,13:31:00
2024-04-03,31,Lost,By myself;Home;Watching shows,overcast clouds,Lost,"Low Energy, Negative",2024-04-03 19:21:00,2,19:21:00
2024-04-02,32,Optimistic,Home;Planning life;By myself,drizzle,Optimistic,"High Energy, Positive",2024-04-02 06:33:00,1,06:33:00
2024-04-02,33,Tired,Home;Waking up;Pets,drizzle,Tired,"Low Energy, Negative",2024-04-02 05:40:00,1,05:40:00
2024-04-01,34,Lost,Walking;Between places;By myself;Commuting,fog,Lost,"Low Energy, Negative",2024-04-01 13:31:00,0,13:31:00
2024-04-01,35,Longing,By myself;Waking up;Walking;Home;Outside,fog,Longing,"Low Energy, Negative",2024-04-01 09:01:00,0,09:01:00
2024-03-31,36,Longing,Pets;Outside;Walking,overcast clouds,Longing,"Low Energy, Negative",2024-03-31 20:26:00,6,20:26:00
2024-03-31,37,Pensive,Home;Pets;Waking up,overcast clouds,Pensive,"Low Energy, Positive",2024-03-31 07:16:00,6,07:16:00
